IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.222.138.56,2082,80,false,ORD,North America,Chicago,203,0.00
54.71.180.5,8080,80,false,ORD,North America,Chicago,211,0.00
54.71.180.5,8443,80,false,ORD,North America,Chicago,222,0.00
54.71.180.5,80,80,false,ORD,North America,Chicago,214,0.00
54.71.180.5,443,80,false,ORD,North America,Chicago,212,0.00
54.71.180.5,2086,80,false,ORD,North America,Chicago,209,0.00
54.71.180.5,2095,80,false,ORD,North America,Chicago,224,0.00
54.188.61.59,2086,80,false,ORD,North America,Chicago,211,0.00
3.8.86.28,2095,80,false,ORD,North America,Chicago,335,0.00
3.8.86.28,2053,80,false,ORD,North America,Chicago,326,0.00
3.8.164.47,2082,80,false,ORD,North America,Chicago,243,0.00
3.8.164.47,443,80,false,ORD,North America,Chicago,252,0.00
3.8.86.28,2083,80,false,ORD,North America,Chicago,244,0.00
3.8.86.28,8443,80,false,ORD,North America,Chicago,252,0.00
35.93.188.199,2095,80,false,ORD,North America,Chicago,226,0.00
35.93.188.199,80,80,false,ORD,North America,Chicago,211,0.00
18.169.191.155,2053,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,2087,80,false,ORD,North America,Chicago,253,0.00
18.169.191.155,2096,80,false,ORD,North America,Chicago,243,0.00
18.169.191.155,2052,80,false,ORD,North America,Chicago,244,0.00
18.169.191.155,80,80,false,ORD,North America,Chicago,321,0.00
52.56.169.29,443,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,2095,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,8080,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,8443,80,false,ORD,North America,Chicago,322,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
18.143.11.143,80,80,false,SIN,Asia Pacific,Singapore,7,0.00
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,7,0.00
16.162.172.91,2087,80,false,HKG,Asia Pacific,Hong Kong,31,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
16.162.172.91,2083,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
16.162.177.179,2082,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
16.162.172.91,2086,80,false,HKG,Asia Pacific,Hong Kong,33,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.172.91,2053,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.177.179,2095,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.172.91,2082,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.172.91,2095,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.177.179,2087,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
16.162.177.179,2086,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
16.162.177.179,2052,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
16.162.177.179,2083,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
13.233.31.14,2083,80,false,ORD,North America,Chicago,51,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,52,0.00
15.207.18.189,2096,80,false,ORD,North America,Chicago,61,0.00
13.233.31.14,2095,80,false,ORD,North America,Chicago,62,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.231.236.95,2053,443,true,NRT,Asia Pacific,Tokyo,69,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,69,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,69,0.00
52.192.240.157,443,443,true,NRT,Asia Pacific,Tokyo,69,0.00
54.199.11.181,2052,80,false,NRT,Asia Pacific,Tokyo,70,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,70,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,71,0.00
15.165.63.136,2053,80,false,NRT,Asia Pacific,Tokyo,71,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,72,0.00
13.237.94.188,2082,80,false,SYD,Oceania,Sydney,92,0.00
13.237.94.188,2083,80,false,SYD,Oceania,Sydney,92,0.00
52.62.216.87,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.129.232,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2087,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2096,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.79.190.249,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,93,0.00
54.79.197.209,2082,80,false,SYD,Oceania,Sydney,93,0.00
